ENS	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000138944	93.89496288	-1.043846395	0.267910019	-3.896257399	9.77E-05	0.004560176
ENSG00000003056	819.5924248	0.697811517	0.179431726	3.889008561	0.000100655	0.004670206
ENSG00000175220	997.3109192	-0.634075961	0.163081323	-3.88809673	0.000101033	0.004670206
ENSG00000188229	11984.06449	-0.629654214	0.16249687	-3.874869803	0.000106682	0.004907359
ENSG00000162909	1691.162429	-0.630336134	0.162833	-3.871058892	0.000108364	0.004960645
ENSG00000092621	2247.633804	0.665313947	0.172050664	3.866965287	0.000110198	0.005020371
ENSG00000010292	1320.689066	-0.627732439	0.163174352	-3.847004323	0.000119571	0.005372488
ENSG00000156599	1058.542376	-0.614354891	0.159625014	-3.848738213	0.000118728	0.005372488
ENSG00000172216	1042.667899	0.732497767	0.190413112	3.846887211	0.000119628	0.005372488
ENSG00000149948	294.0181546	-0.842776089	0.219326374	-3.842566106	0.000121755	0.005442201
ENSG00000176485	233.1911798	0.842092871	0.219279947	3.840263926	0.000122902	0.005467701
ENSG00000205531	3676.724519	-0.527876576	0.137595357	-3.836441772	0.00012483	0.005527509
ENSG00000227057	381.8229042	-0.754384036	0.196765068	-3.833932744	0.000126111	0.005558253
ENSG00000172534	1364.985171	-0.723776474	0.189096979	-3.827541184	0.00012943	0.00567813
ENSG00000142945	1552.224902	-0.595869131	0.155731297	-3.826264494	0.000130102	0.005681342
ENSG00000167978	2447.514703	-0.671741329	0.17608186	-3.81493772	0.000136217	0.005921078
ENSG00000131876	2853.350775	-0.548945177	0.144376618	-3.802175063	0.000143431	0.006206188
ENSG00000103528	213.8127504	0.852791973	0.22468445	3.795509542	0.000147341	0.006346358
ENSG00000108344	1594.040956	0.64622271	0.170374157	3.792962035	0.000148861	0.006382833
ENSG00000170142	1116.884236	0.651151583	0.1720213	3.785296259	0.000153526	0.006540715
ENSG00000182481	2956.561733	-0.528357281	0.139605232	-3.784652431	0.000153924	0.006540715
ENSG00000170955	127.0327973	-0.979561111	0.260063192	-3.766627273	0.000165468	0.006999877
ENSG00000169429	335.5352583	0.901479083	0.239720856	3.760536727	0.000169549	0.007140658
ENSG00000235109	68.81759297	1.062759057	0.282871626	3.757036624	0.000171937	0.007209196
ENSG00000160208	1422.497544	-0.597648682	0.159169473	-3.754794638	0.000173484	0.007210224
